Date,Open,High,Low,Close,Volume,DateGroup,Rate_To_PreviousDay,Bull_Bear
2023/3/28 15:16,122.9,122.9,122.9,122.9,0,202303,-0.024603175,1
2023/3/29 15:16,123.76,123.76,123.76,123.76,0,202303,0.006997559,2
2023/3/30 15:16,126.31,126.31,126.31,126.31,0,202303,0.020604396,2
2023/3/31 15:16,125.85,125.85,125.85,125.85,0,202303,-0.003641834,1
2023/4/3 15:16,126.21,126.21,126.21,126.21,0,202304,0.002860548,2
2023/4/4 15:16,127.03,127.03,127.03,127.03,0,202304,0.006497108,2
2023/4/5 15:16,126.98,126.98,126.98,126.98,0,202304,-0.000393608,1
2023/4/6 15:16,124.42,124.42,124.42,124.42,0,202304,-0.020160655,1
2023/4/10 15:16,126.96,126.96,126.96,126.96,0,202304,0.020414724,2
2023/4/11 15:16,127.42,127.42,127.42,127.42,0,202304,0.003623188,2
2023/4/12 15:16,130,130,130,130,0,202304,0.020247999,2
2023/4/13 15:16,132.36,132.36,132.36,132.36,0,202304,0.018153846,2
2023/4/14 15:16,134.65,134.65,134.65,134.65,0,202304,0.017301299,2
2023/4/17 15:16,135.04,135.04,135.04,135.04,0,202304,0.002896398,2
2023/4/18 15:16,137.12,137.12,137.12,137.12,0,202304,0.015402844,2
2023/4/19 15:16,130.48,130.48,130.48,130.48,0,202304,-0.048424737,0
2023/4/20 15:16,133.49,133.49,133.49,133.49,0,202304,0.02306867,2
2023/4/21 15:16,132.94,132.94,132.94,132.94,0,202304,-0.004120159,1
2023/4/24 15:16,132.4,132.4,132.4,132.4,0,202304,-0.004061983,1
2023/4/25 15:16,130.29,130.29,130.29,130.29,0,202304,-0.015936556,1
2023/4/26 15:16,130.5,130.5,130.5,130.5,0,202304,0.001611789,2
2023/4/27 15:16,136.6,136.6,136.6,136.6,0,202304,0.046743295,3
2023/4/28 15:16,138.44,138.44,138.44,138.44,0,202304,0.013469985,2
2023/5/1 15:16,135.66,135.66,135.66,135.66,0,202305,-0.020080901,1
2023/5/2 15:16,131.09,131.09,131.09,131.09,0,202305,-0.033687159,0
2023/5/3 15:16,130.41,130.41,130.41,130.41,0,202305,-0.005187276,1
2023/5/4 15:16,130.54,130.54,130.54,130.54,0,202305,0.000996856,2
2023/5/5 15:16,134.32,134.32,134.32,134.32,0,202305,0.028956642,3
2023/5/8 15:16,132.32,132.32,132.32,132.32,0,202305,-0.014889815,1
2023/5/9 15:16,133.88,133.88,133.88,133.88,0,202305,0.011789601,2
2023/5/10 15:16,138.63,138.63,138.63,138.63,0,202305,0.035479534,3
2023/5/11 15:16,138.18,138.18,138.18,138.18,0,202305,-0.003246051,1
2023/5/12 15:16,140.26,140.26,140.26,140.26,0,202305,0.01505283,2
2023/5/15 15:16,138.57,138.57,138.57,138.57,0,202305,-0.012049052,1
2023/5/16 15:16,137.32,137.32,137.32,137.32,0,202305,-0.009020712,1
2023/5/17 15:16,137.53,137.53,137.53,137.53,0,202305,0.001529275,2
2023/5/18 15:16,138.06,138.06,138.06,138.06,0,202305,0.003853705,2
2023/5/19 15:16,135.52,135.52,135.52,135.52,0,202305,-0.018397798,1
2023/5/22 15:16,136.24,136.24,136.24,136.24,0,202305,0.005312869,2
2023/5/23 15:16,136.42,136.42,136.42,136.42,0,202305,0.001321198,2
2023/5/24 15:16,138.37,138.37,138.37,138.37,0,202305,0.014294092,2
2023/5/25 15:16,140.73,140.73,140.73,140.73,0,202305,0.01705572,2
2023/5/26 15:16,146.46,146.46,146.46,146.46,0,202305,0.040716265,3
2023/5/30 15:16,145.14,145.14,145.14,145.14,0,202305,-0.0090127,1
2023/5/31 15:16,158.3,158.3,158.3,158.3,0,202305,0.090671076,3
2023/6/1 15:16,151.98,151.98,151.98,151.98,0,202306,-0.039924195,0
2023/6/2 15:16,142.61,142.61,142.61,142.61,0,202306,-0.061652849,0
2023/6/5 15:16,143.18,143.18,143.18,143.18,0,202306,0.003996915,2
2023/6/6 15:16,146.27,146.27,146.27,146.27,0,202306,0.021581226,2
2023/6/7 15:16,151.01,151.01,151.01,151.01,0,202306,0.032405825,3
2023/6/8 15:16,155.53,155.53,155.53,155.53,0,202306,0.029931793,3
2023/6/9 15:16,152.78,152.78,152.78,152.78,0,202306,-0.017681476,1
2023/6/12 15:16,157.71,157.71,157.71,157.71,0,202306,0.032268622,3
2023/6/13 15:16,156.44,156.44,156.44,156.44,0,202306,-0.008052755,1
2023/6/14 15:16,150.37,150.37,150.37,150.37,0,202306,-0.038800818,0
2023/6/15 15:16,147.86,147.86,147.86,147.86,0,202306,-0.016692159,1
2023/6/16 15:16,143.07,143.07,143.07,143.07,0,202306,-0.032395509,0
2023/6/20 15:16,138.75,138.75,138.75,138.75,0,202306,-0.030195009,0
2023/6/21 15:16,133.72,133.72,133.72,133.72,0,202306,-0.036252252,0
2023/6/22 15:16,136.15,136.15,136.15,136.15,0,202306,0.0181723,2
2023/6/23 15:16,137.85,137.85,137.85,137.85,0,202306,0.012486228,2
2023/6/26 15:16,140.09,140.09,140.09,140.09,0,202306,0.016249547,2
2023/6/27 15:16,140.56,140.56,140.56,140.56,0,202306,0.003354986,2
2023/6/28 15:16,138.37,138.37,138.37,138.37,0,202306,-0.015580535,1
2023/6/29 15:16,143.05,143.05,143.05,143.05,0,202306,0.03382236,3
2023/6/30 15:16,140.09,149.96,138.37,149.96,0,202306,0.048304789,3
2023/7/3 13:00,145.24,145.24,145.24,145.24,0,202307,-0.03147506,0
2023/7/5 15:16,144.08,144.08,144.08,144.08,0,202307,-0.007986781,1
2023/7/6 15:16,148.45,148.45,148.45,148.45,0,202307,0.030330372,3
2023/7/7 15:16,148.13,148.13,148.13,148.13,0,202307,-0.002155608,1
2023/7/10 15:16,142.49,142.49,142.49,142.49,0,202307,-0.038074664,0
2023/7/11 15:16,143.99,143.99,143.99,143.99,0,202307,0.010527055,2
2023/7/12 15:16,148.32,148.32,148.32,148.32,0,202307,0.030071533,3
2023/7/13 15:16,147.08,147.08,147.08,147.08,0,202307,-0.008360302,1
2023/7/14 15:16,149.48,149.48,149.48,149.48,0,202307,0.01631765,2
2023/7/17 15:16,142.24,142.24,142.24,142.24,0,202307,-0.048434573,0
2023/7/18 15:16,141.86,141.86,141.86,141.86,0,202307,-0.002671541,1
2023/7/19 15:16,141.25,141.25,141.25,141.25,0,202307,-0.004300014,1
2023/7/20 15:16,142.82,142.82,142.82,142.82,0,202307,0.011115044,2
2023/7/21 15:16,142.55,142.55,142.55,142.55,0,202307,-0.001890492,1
2023/7/24 15:16,143.75,143.75,143.75,143.75,0,202307,0.008418099,2
2023/7/25 15:16,142.18,142.18,142.18,142.18,0,202307,-0.010921739,1
2023/7/26 15:16,143.58,143.58,143.58,143.58,0,202307,0.009846673,2
2023/7/27 15:16,147.93,147.93,147.93,147.93,0,202307,0.030296699,3
2023/7/28 15:16,143.48,143.48,143.48,143.48,0,202307,-0.030081795,0
2023/7/31 15:16,145.47,145.47,145.47,145.47,0,202307,0.013869529,2
2023/8/1 15:16,142.57,142.57,142.57,142.57,0,202308,-0.019935382,1
2023/8/2 15:16,145.75,145.75,145.75,145.75,0,202308,0.022304833,2
2023/8/3 15:16,147.38,147.38,147.38,147.38,0,202308,0.011183533,2
2023/8/4 15:16,153.35,153.35,153.35,153.35,0,202308,0.040507532,3
2023/8/7 15:16,148.54,148.54,148.54,148.54,0,202308,-0.031366156,0
2023/8/8 15:16,142.3,142.3,142.3,142.3,0,202308,-0.042008887,0
2023/8/9 15:16,137.12,137.12,137.12,137.12,0,202308,-0.036401968,0
2023/8/10 15:16,136.58,136.58,136.58,136.58,0,202308,-0.003938156,1
2023/8/11 15:16,135.16,135.16,135.16,135.16,0,202308,-0.010396837,1
2023/8/14 15:16,136.9,136.9,136.9,136.9,0,202308,0.012873631,2
2023/8/15 15:16,136.69,136.69,136.69,136.69,0,202308,-0.001533966,1
2023/8/16 15:16,132.09,132.09,132.09,132.09,0,202308,-0.033652791,0
2023/8/17 15:16,132.51,132.51,132.51,132.51,0,202308,0.00317965,2
2023/8/18 15:16,134.77,134.77,134.77,134.77,0,202308,0.017055317,2
2023/8/21 15:16,133.59,133.59,133.59,133.59,0,202308,-0.008755658,1
2023/8/22 15:16,134.06,134.06,134.06,134.06,0,202308,0.003518227,2
2023/8/23 15:16,131.82,131.82,131.82,131.82,0,202308,-0.016708936,1
2023/8/24 15:16,132.48,132.48,132.48,132.48,0,202308,0.005006827,2
2023/8/25 15:16,132.27,132.27,132.27,132.27,0,202308,-0.001585145,1
2023/8/28 15:16,130.19,130.19,130.19,130.19,0,202308,-0.01572541,1
2023/8/29 15:16,135.23,135.23,135.23,135.23,0,202308,0.038712651,3
2023/8/30 15:16,142.14,142.14,142.14,142.14,0,202308,0.051098129,3
2023/8/31 15:16,144.7,144.7,144.7,144.7,0,202308,0.018010412,2
2023/9/1 15:16,144.28,144.28,144.28,144.28,0,202309,-0.002902557,1
2023/9/5 15:16,139.62,139.62,139.62,139.62,0,202309,-0.032298309,0
2023/9/6 15:16,137.88,137.88,137.88,137.88,0,202309,-0.012462398,1
2023/9/7 15:16,135.59,135.59,135.59,135.59,0,202309,-0.016608645,1
2023/9/8 15:16,138.18,138.18,138.18,138.18,0,202309,0.019101704,2
2023/9/11 15:16,138.21,138.21,138.21,138.21,0,202309,0.000217108,2
