Date,DateGroup,Open,High,Low,Close,Adj Close,Volume,CloseRate_to_PreviousDay,Bull_Bear
2024/1/26,202401,60.959999,61.783001,60.573002,61.030998,61.023125,390309000,-0.0230 ,0
2024/1/29,202401,61.231998,62.488998,60.907001,62.465,62.45694,348733000,-0.0049 ,1
2024/1/30,202401,62.900002,63.493,62.259998,62.773998,62.765896,410735000,0.0203 ,4
2024/1/31,202401,61.439999,62.269001,60.700001,61.527,61.519058,453795000,-0.0238 ,0
2024/2/1,202402,62.099998,63.191002,61.650002,63.027,63.018867,369146000,-0.0474 ,0
2024/2/2,202402,63.973999,66.599998,63.689999,66.160004,66.151466,476578000,-0.0458 ,0
2024/2/5,202402,68.224998,69.497002,67.205002,69.332001,69.323059,680078000,0.0163 ,4
2024/2/6,202402,69.629997,69.753998,66.300003,68.223,68.214203,683111000,-0.0268 ,0
2024/2/7,202402,68.319,70.220001,67.599998,70.098999,70.089951,495575000,0.0066 ,3
2024/2/8,202402,70.073997,70.793999,69.455002,69.640999,69.632011,414422000,-0.0345 ,0
2024/2/9,202402,70.532997,72.184998,70.211998,72.133003,72.123695,436637000,-0.0016 ,1
2024/2/12,202402,72.599998,74.611,71.25,72.248001,72.238678,613710000,0.0017 ,3
2024/2/13,202402,70.400002,73.449997,69.620003,72.127998,72.11869,602580000,-0.0240 ,0
2024/2/14,202402,73.202003,74.236,71.938004,73.900002,73.890465,504917000,0.0171 ,4
2024/2/15,202402,73.869003,73.974998,72.400002,72.657997,72.648621,420122000,0.0006 ,3
2024/2/16,202402,74.099998,74.402,72.500999,72.612999,72.60363,495327000,0.0455 ,4
2024/2/20,202402,71.946999,71.956001,67.734001,69.452003,69.443039,704833000,0.0293 ,4
2024/2/21,202402,68.005997,68.888,66.248001,67.472,67.463295,690298000,-0.1409 ,0
2024/2/22,202402,75.025002,78.574997,74.220001,78.538002,78.527863,865100000,-0.0035 ,1
2024/2/23,202402,80.790001,82.393997,77.57,78.817001,78.806824,829388000,-0.0035 ,1
2024/2/26,202402,79.699997,80.646004,78.504997,79.092003,79.081802,503973000,0.0050 ,3
2024/2/27,202402,79.380997,79.480003,77.162003,78.700996,78.690842,391705000,0.0134 ,4
2024/2/28,202402,77.620003,78.932999,77.125,77.663002,77.652985,393110000,-0.0183 ,0
2024/2/29,202402,79.094002,79.989998,78.349998,79.112,79.101791,507289000,-0.0385 ,0
2024/3/1,202403,80,82.300003,79.434998,82.278999,82.268379,479135000,-0.0347 ,0
2024/3/4,202403,84.129997,87.695,83.719002,85.237,85.225998,615616000,-0.0085 ,1
2024/3/5,202403,85.269997,86.097,83.417,85.963997,85.95694,520639000,-0.0308 ,0
2024/3/6,202403,88.022003,89.723999,87.029999,88.699997,88.692711,582520000,-0.0428 ,0
2024/3/7,202403,90.157997,92.766998,89.601997,92.668999,92.661385,608119000,0.0587 ,4
2024/3/8,202403,95.138,97.400002,86.505997,87.528,87.520813,1142269000,0.0204 ,4
2024/3/11,202403,86.429001,88.796997,84.166,85.774002,85.76696,678364000,-0.0668 ,0
2024/3/12,202403,88.049004,91.959999,86.150002,91.913002,91.905449,668075000,0.0113 ,4
2024/3/13,202403,91.055,91.503998,88.434998,90.888,90.880539,635713000,0.0335 ,4
